dataset,metric,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,euclidean,0.14601769911504425,0.7685069509245334,0.07666933097594339,0.37684363768568313,0.1087093493932021,0.3770231046093115,0.09550554999917968
arrhythmia,manhattan,0.14601769911504425,0.8063387162288261,0.056386296767033606,0.46831324641799216,0.08605239719408218,0.41321287408243934,0.08880865340690472
arrhythmia,cosine,0.14601769911504425,0.6076677900853726,0.08748522987729251,0.21437329125910604,0.0654228130166101,0.1423448275862069,0.13115029364959785
arrhythmia,minkowski,0.14601769911504425,0.7685069509245334,0.07666933097594339,0.37684363768568313,0.1087093493932021,0.3770231046093115,0.09550554999917968
breastw,euclidean,0.34992679355783307,0.4696405431617152,0.05927253405579551,0.3146588319014834,0.02679557728583647,0.21888153695849927,0.07685142579257345
breastw,manhattan,0.34992679355783307,0.44254093272553413,0.057522036087934984,0.3038336149850968,0.02577288861661909,0.16093471042551663,0.05672835908111876
breastw,cosine,0.34992679355783307,0.39718640429516294,0.0688540474196201,0.2852997743738432,0.023469698057743262,0.19125084898992614,0.07732448735903263
breastw,minkowski,0.34992679355783307,0.4696405431617152,0.05927253405579551,0.3146588319014834,0.02679557728583647,0.21888153695849927,0.07685142579257345
cardio,euclidean,0.0961223375204806,0.5504076152112406,0.05926779206112157,0.16031993768723443,0.03428700944471198,0.13631506801656051,0.024370251244086556
cardio,manhattan,0.0961223375204806,0.571801179686376,0.06024628182697597,0.1767165383449804,0.028163851109864687,0.13616133332851554,0.029035396486191863
cardio,cosine,0.0961223375204806,0.37789670550999854,0.0401505775681264,0.1122248834040962,0.03228995153302736,0.08660465804862622,0.04176608463227504
cardio,minkowski,0.0961223375204806,0.5504076152112406,0.05926779206112157,0.16031993768723443,0.03428700944471198,0.13631506801656051,0.024370251244086556
mammography,euclidean,0.023249575248144506,0.7187242296956696,0.024142654316108715,0.11249934399805242,0.03936589130734236,0.2009515262595453,0.04918436130986326
mammography,manhattan,0.023249575248144506,0.7254289715154879,0.018860023954012112,0.11269726719947082,0.03376997023003905,0.20979985063480208,0.04679874889111972
mammography,cosine,0.023249575248144506,0.5956651050058901,0.013674673857064059,0.041461839282169385,0.013024360677588278,0.05054682686596061,0.04349240156354501
mammography,minkowski,0.023249575248144506,0.7187242296956696,0.024142654316108715,0.11249934399805242,0.03936589130734236,0.2009515262595453,0.04918436130986326
satellite,euclidean,0.3163947163947164,0.5509204339032687,0.014391793626846333,0.38549175178626033,0.020757636198469785,0.38158212432075195,0.012338862166104962
satellite,manhattan,0.3163947163947164,0.5575735975173381,0.012969639125329181,0.3849991332618795,0.02169740098354913,0.3839798432795045,0.009829885321471043
satellite,cosine,0.3163947163947164,0.5172275365247295,0.012892241314316088,0.37032186474624973,0.014793316987298752,0.35706734600279816,0.011514401276427723
satellite,minkowski,0.3163947163947164,0.5509204339032687,0.014391793626846333,0.38549175178626033,0.020757636198469785,0.38158212432075195,0.012338862166104962
shuttle,euclidean,0.0715114976475141,0.5320916945371728,0.01273937704453753,0.11892624566790375,0.013130877306164756,0.13180331670745526,0.017725786999466645
shuttle,manhattan,0.0715114976475141,0.5309436486797561,0.01465197864396697,0.11085686531760248,0.012060128895982021,0.13493767814388008,0.011740382330815046
shuttle,cosine,0.0715114976475141,0.5303371376260098,0.013378641410984795,0.12429904354950119,0.010671964047843242,0.12757498384602434,0.014077813206482466
shuttle,minkowski,0.0715114976475141,0.5320916945371728,0.01273937704453753,0.11892624566790375,0.013130877306164756,0.13180331670745526,0.017725786999466645
fcps_target,euclidean,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
fcps_target,manhattan,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
fcps_target,cosine,0.015584415584415584,0.40470401998373423,0.09686335500557587,0.01915277594476745,0.004723488611096012,0.0,0.0
fcps_target,minkowski,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
graves_fuzzyx,euclidean,0.138,0.4645637961238176,0.048774914116900527,0.1257532489459273,0.010684331156125014,0.014509803921568625,0.01786789921552081
graves_fuzzyx,manhattan,0.138,0.46719839882899433,0.051691726588829826,0.1257766239981855,0.010517654826269594,0.021486563750714692,0.017601462187290227
graves_fuzzyx,cosine,0.138,0.7581577696126022,0.030155826217573265,0.41235143362391646,0.040513518840101896,0.4033084426331695,0.04516925465014691
graves_fuzzyx,minkowski,0.138,0.4645637961238176,0.048774914116900527,0.1257532489459273,0.010684331156125014,0.014509803921568625,0.01786789921552081
graves_ring_outliers,euclidean,0.02912621359223301,1.0,0.0,1.0,0.0,0.9664335664335665,0.04134753985760694
graves_ring_outliers,manhattan,0.02912621359223301,1.0,0.0,1.0,0.0,0.9482517482517483,0.04255978756560263
graves_ring_outliers,cosine,0.02912621359223301,0.058833333333333335,0.024128418007725985,0.01802879738413956,0.00041002571459808584,0.0,0.0
graves_ring_outliers,minkowski,0.02912621359223301,1.0,0.0,1.0,0.0,0.9664335664335665,0.04134753985760694
graves_zigzag_outliers,euclidean,0.10714285714285714,0.9966666666666667,0.002981423969999739,0.9746031746031745,0.02308418979722063,0.8357575757575757,0.06900579552722559
graves_zigzag_outliers,manhattan,0.10714285714285714,0.9753333333333332,0.024997777679003585,0.838982683982684,0.18796466895139313,0.5660606060606062,0.3343642460488452
graves_zigzag_outliers,cosine,0.10714285714285714,0.14733333333333334,0.06488108781112994,0.08342588317596944,0.009208544487241089,0.0,0.0
graves_zigzag_outliers,minkowski,0.10714285714285714,0.9966666666666667,0.002981423969999739,0.9746031746031745,0.02308418979722063,0.8357575757575757,0.06900579552722559
sipu_flame,euclidean,0.05,0.7234782608695653,0.055773025317804155,0.2847114253995059,0.2141411759636361,0.18,0.22271057451320087
sipu_flame,manhattan,0.05,0.715072463768116,0.07450783870630467,0.2880580612198259,0.21010603869386651,0.2,0.24494897427831783
sipu_flame,cosine,0.05,0.6229146537842191,0.22629534922402747,0.1288582263969261,0.06304237982000897,0.05,0.1
sipu_flame,minkowski,0.05,0.7234782608695653,0.055773025317804155,0.2847114253995059,0.2141411759636361,0.18,0.22271057451320087
wut_x2,euclidean,0.08333333333333333,0.9227272727272726,0.08455034198971945,0.6616666666666666,0.29124254878403705,0.4933333333333333,0.29089898972361905
wut_x2,manhattan,0.08333333333333333,0.9,0.07272727272727275,0.5765151515151514,0.23340711151580715,0.3333333333333333,0.2981423969999719
wut_x2,cosine,0.08333333333333333,0.75,0.20378647064963543,0.5814199689199688,0.2618934896614831,0.4666666666666666,0.2449489742783178
wut_x2,minkowski,0.08333333333333333,0.9227272727272726,0.08455034198971945,0.6616666666666666,0.29124254878403705,0.4933333333333333,0.29089898972361905
